sku,lista_precio,canal,moneda,precio_unitario,unidad,precio_mayoreo,cantidad_min_mayoreo,vigencia_inicio,vigencia_fin,activo,notas
SW-ARM-CTRL-MC-CHAQ,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-POT-MC-CHAQ,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-CTRL-TECK90,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-POT-TECK90,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-MV-5KV-ARM,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-MV-15KV-ARM,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-AL-MC-SIN-CHAQ,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-INST-MCHL,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-CTRL-MCHL,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-POT-MCHL,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-MV-5KV-MCHL,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-ARM-MV-15KV-MCHL,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MV-XLPE-CU-1C,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MV-XLPE-AL-1C,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MV-EPR-CU-1C,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MV-EPR-CU-3C,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MIN-DLO,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MIN-G,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MIN-G-GC,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MIN-SHD-GC,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-CP-CTRL-TFN,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-CP-CTRL-THHN,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-CP-CTRL-BLINDADO,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-CP-CTRL-FHHN,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-CP-CTRL-FREP,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-CP-POT-THHN,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-CP-POT-XLP,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-CP-POT-FREP,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-REN-H1Z2Z2-K,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-REN-PV-WIRE-UL,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-REN-MC4,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-REN-EOLICO-XHHW,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-REN-MV-35KV,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MONO-THHN-THWN-2,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MONO-XHHW-2,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MONO-RHW-2-RHH-USE-2,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MONO-EPR-XL-CPE,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MONO-PROTECCION-CATODICA,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MONO-AL-XHHW-2,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MONO-AL-RHH-RHW-USE-2,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-MONO-AL-THHN,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-AT-SFF2-SRG-150,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-AT-SF2-SRG-200,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-AT-SRK-200,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-AT-FEB-200,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-AT-TGGF-250,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-AT-MGT-450-538,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IEC-H07,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IEC-H05,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IEC-YSLY-JZ,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IEC-YSLCY-JZ,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IEC-RV-K,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IEC-VY-K,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IEC-H07RN-F,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IEC-VFD,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-AL-XHHW-2,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-AL-RHW-RHH-USE-2,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-AL-MC-FEEDER-XHHW-2,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-AL-FOTOVOLTAICO-XLP,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-PLAN-BOMBA-SUMERGIBLE,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-PLAN-GRUA-FESTOON,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-INS-PAR-TRIADA-PVC-300V,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-INS-MULTIPLE-PARES-PVC-BG-300V,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-INS-MULTIPLE-PARES-PVC-BI-BG-300V,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-INS-MULTIPLE-TRIADAS-PVC-BI-BG-300V,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-INS-MULTIPLE-PARES-TFN-BG-600V,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-INS-MULTIPLE-PARES-TFN-BI-BG-600V,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-INS-MULTIPLE-TRIADAS-THHN-BI-BG-600V,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-FLEX-SOOW,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-FLEX-SEO,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-FLEX-ST,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-FLEX-DLO,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-FLEX-JUMPER,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-FLEX-PORTA-ELECTRICO,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-FLEX-RVK,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-FLEX-STAGE,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IND-RHHW,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IND-XHHW,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IND-THW-LS,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IND-RWU90,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IND-CPC,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IND-THHN,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IND-LSZH,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IND-USE-2,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IND-SIS,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
SW-IND-FOTOVOLTAICOS,SOLEIL-BASE-2027,General,MXN,,m,,,,,SI,Completar precio según cotización/proveedor
